"age","educ","gender","hrswork","insure","metro","nchild","union","wage","race","marital","region"
57,0,0,40,1,1,2,0,25,"Asian",1,"west"
68,3,0,60,1,1,0,0,48.08,"White",1,"midwest"
32,1,0,40,1,1,1,0,25,"White",1,"northeast"
31,5,1,45,1,1,2,0,48.29,"White",1,"south"
42,4,0,40,1,1,0,0,42.5,"White",0,"northeast"
34,1,0,50,1,1,0,0,26.92,"White",0,"midwest"
51,4,0,50,1,1,3,0,22.3,"White",1,"south"
53,1,0,40,1,1,2,0,23,"White",1,"midwest"
33,3,0,40,0,1,0,0,15,"White",2,"west"
44,4,1,40,1,1,3,1,60.08,"Asian",2,"west"
21,0,0,40,0,1,0,1,11.6,"White",0,"west"
51,2,1,40,1,1,2,0,26.45,"White",1,"northeast"
49,2,1,40,1,0,0,0,18,"White",1,"midwest"
35,1,0,40,1,1,3,1,16.15,"White",1,"south"
58,1,0,50,1,1,2,0,36.54,"White",1,"midwest"
37,2,0,40,1,1,4,0,16,"White",1,"west"
42,3,1,35,1,1,2,0,38,"White",1,"west"
45,0,0,40,1,1,1,1,34.95,"White",1,"northeast"
46,0,1,40,1,1,0,0,30,"Asian",1,"west"
30,3,0,50,1,1,0,0,23.08,"White",1,"south"
52,3,1,45,1,1,1,0,33.33,"White",1,"west"
41,1,0,42,1,1,3,0,20,"White",1,"midwest"
32,3,1,43,1,1,1,0,25.58,"White",1,"northeast"
52,5,0,40,1,1,2,0,72.13,"White",1,"northeast"
30,3,0,40,1,1,0,0,19.23,"Asian",0,"west"
42,1,1,40,1,1,2,0,12,"White",2,"south"
40,0,1,25,0,1,2,0,7.75,"White",1,"south"
60,0,1,60,1,0,0,0,9,"White",1,"midwest"
62,0,0,40,1,1,0,1,16,"White",1,"west"
35,1,0,40,0,1,0,0,14.75,"White",0,"midwest"
33,1,0,40,1,0,0,0,22,"White",0,"west"
34,0,0,40,1,1,5,1,21,"White",1,"west"
31,3,0,40,0,1,1,0,12.12,"White",0,"south"
28,0,1,55,1,0,2,0,12.24,"White",1,"south"
48,3,0,50,1,1,3,0,33,"White",1,"west"
25,1,0,40,0,1,0,0,15.38,"White",0,"midwest"
41,3,1,38,1,1,0,0,11,"White",2,"midwest"
22,3,1,15,1,1,0,0,20,"White",0,"west"
21,0,1,25,0,1,0,0,9.15,"White",0,"west"
37,3,1,30,1,0,3,0,32,"White",1,"midwest"
41,0,1,36,0,1,2,0,9.19,"White",1,"west"
51,3,1,40,1,1,0,0,22,"White",2,"midwest"
54,4,1,40,1,1,1,1,64.9,"White",1,"northeast"
23,1,0,40,1,1,0,0,16.5,"White",0,"midwest"
68,5,0,40,1,1,0,1,48.08,"White",1,"west"
61,0,0,45,1,1,0,0,14,"White",1,"midwest"
30,2,1,40,1,1,0,0,19.23,"White",0,"midwest"
49,4,0,60,1,1,3,0,27.5,"White",1,"northeast"
33,1,1,40,1,0,3,0,16.24,"Black",2,"south"
43,3,1,40,1,1,1,0,23.08,"Black",1,"south"
39,3,0,40,1,1,2,0,34.6,"White",1,"south"
52,0,0,40,1,0,2,0,22.5,"White",1,"midwest"
33,2,1,45,1,0,0,0,25.48,"White",0,"midwest"
47,2,1,40,1,1,2,0,21.4,"White",1,"south"
47,1,0,40,1,1,0,0,16.75,"White",1,"midwest"
57,2,0,40,1,1,0,1,27.2,"White",1,"northeast"
20,1,0,30,1,1,0,0,8,"White",0,"midwest"
40,4,0,45,1,1,0,0,30,"White",1,"south"
41,0,1,40,1,1,0,0,24.35,"White",2,"midwest"
56,2,0,40,1,0,0,1,35,"White",2,"west"
28,3,1,40,0,1,0,0,12,"White",0,"northeast"
48,0,1,40,1,0,1,0,16.83,"White",1,"midwest"
45,0,1,40,1,1,2,0,16.33,"White",2,"west"
31,4,1,40,1,1,0,0,33.65,"Asian",1,"west"
48,0,1,32,0,1,2,0,10,"White",1,"south"
53,1,0,43,0,1,2,0,27.41,"White",1,"west"
33,3,0,40,1,1,0,0,48.08,"White",0,"northeast"
51,2,0,70,1,0,2,0,14.83,"White",1,"midwest"
49,3,0,40,1,0,2,0,52,"White",1,"south"
28,0,0,40,0,1,4,0,17.5,"Asian",0,"midwest"
62,0,0,30,0,1,0,0,6.67,"Asian",1,"northeast"
36,4,1,55,1,0,2,1,14.45,"White",1,"northeast"
53,0,0,45,1,1,0,0,23,"White",2,"south"
25,3,1,50,1,1,0,0,16,"White",0,"northeast"
64,3,0,40,1,1,0,0,59.63,"White",1,"midwest"
38,0,1,40,0,0,1,0,15,"White",1,"midwest"
45,1,0,40,1,0,3,0,27.88,"White",1,"midwest"
37,0,0,40,0,1,0,0,35,"Asian",0,"west"
47,0,1,40,1,1,2,0,15,"White",1,"south"
55,4,0,45,1,1,0,0,31.2,"White",1,"midwest"
32,4,1,40,1,0,1,0,37.5,"White",1,"south"
54,4,1,40,1,1,2,1,33.65,"White",1,"northeast"
55,2,1,40,1,1,1,0,13.5,"White",1,"northeast"
44,0,0,40,1,0,0,0,14,"White",2,"south"
52,4,1,40,1,1,1,0,22,"White",1,"midwest"
28,0,0,35,0,1,0,0,20,"White",1,"northeast"
61,4,1,40,1,1,0,1,28.85,"White",1,"midwest"
45,0,1,37,1,1,2,0,10.41,"White",1,"south"
23,0,1,40,0,1,0,0,18,"White",0,"south"
54,0,1,40,1,1,0,0,16,"Black",2,"northeast"
27,4,1,40,1,1,0,0,17.3,"White",0,"northeast"
38,2,1,40,1,1,4,0,12,"White",1,"south"
51,4,1,43,1,1,2,0,33.53,"White",1,"northeast"
42,3,1,40,1,1,0,0,24.05,"White",2,"south"
48,2,0,40,1,1,0,0,15,"White",0,"northeast"
58,0,0,50,1,0,0,0,16,"White",1,"midwest"
36,2,1,60,1,0,4,0,15,"White",1,"south"
44,3,1,43,1,1,2,0,19.23,"White",1,"northeast"
46,1,0,40,1,1,0,1,35,"Black",1,"south"
31,4,0,50,1,1,0,0,41.54,"White",0,"south"
37,4,1,40,1,1,3,1,39.22,"White",1,"midwest"
39,4,1,40,1,1,2,0,48.08,"White",1,"west"
52,3,0,50,1,1,2,0,53.84,"Asian",1,"northeast"
38,2,0,50,1,1,2,0,20,"Black",1,"south"
43,3,0,40,1,1,3,0,34.63,"White",1,"west"
27,3,1,40,1,1,0,0,22.35,"White",0,"west"
61,0,0,40,1,0,0,0,9.23,"White",1,"south"
46,3,1,40,1,1,2,0,19.1,"White",0,"west"
47,3,1,40,1,1,1,0,48,"White",2,"west"
31,3,0,40,1,1,0,0,20,"White",0,"west"
50,0,0,40,1,1,0,0,15.08,"White",2,"south"
31,3,1,40,1,1,0,0,38.45,"White",1,"midwest"
27,3,0,40,1,1,1,0,18,"White",1,"south"
45,0,0,40,1,1,0,0,30.77,"White",1,"west"
55,0,0,40,1,1,2,0,16,"White",1,"west"
49,3,0,40,1,1,0,0,43.28,"White",1,"northeast"
44,1,0,20,0,1,1,0,43.75,"Black",0,"south"
45,4,0,27,1,1,0,0,30,"White",0,"midwest"
52,0,0,60,1,1,1,0,26,"White",1,"west"
19,0,1,35,0,1,0,1,10,"Black",0,"midwest"
45,3,1,40,1,0,2,1,31.92,"White",2,"west"
40,1,0,40,0,1,0,0,35,"White",1,"northeast"
58,1,1,38,1,0,0,0,25.29,"White",2,"south"
37,2,1,24,1,1,1,0,11.64,"Black",1,"south"
21,1,1,35,1,1,0,0,3.8,"White",0,"midwest"
30,3,0,40,0,1,0,1,19.17,"Black",0,"northeast"
59,0,0,40,1,0,0,0,14,"Black",1,"south"
27,3,1,40,1,1,0,0,24.05,"White",0,"west"
57,0,0,40,1,1,0,0,22.33,"White",2,"west"
46,1,0,40,1,1,1,0,28.85,"White",1,"west"
42,1,0,40,1,1,2,0,53.13,"White",1,"south"
59,2,0,45,1,1,0,0,15.06,"White",0,"west"
21,1,0,25,1,1,0,0,10,"White",0,"south"
28,5,1,40,1,1,0,0,31.25,"White",0,"south"
32,0,1,35,1,1,0,0,15,"White",0,"midwest"
66,0,0,49,0,0,0,0,8.75,"White",0,"south"
61,3,1,40,1,1,0,0,36.53,"White",1,"south"
31,3,1,52,1,1,0,0,25.73,"White",0,"midwest"
32,0,0,40,0,0,3,0,9.9,"White",1,"west"
60,3,0,40,1,1,0,0,23,"White",1,"west"
57,4,0,50,1,0,0,0,35.38,"White",1,"west"
48,0,1,35,1,1,1,0,13.74,"White",1,"midwest"
57,2,1,40,0,0,2,0,17,"White",2,"west"
45,3,1,40,1,1,2,0,17.3,"White",1,"northeast"
42,5,1,40,1,1,0,0,30.3,"White",0,"midwest"
32,0,0,50,1,0,0,0,19.75,"White",0,"northeast"
26,4,0,40,1,1,0,0,13.5,"White",0,"west"
53,3,0,40,1,1,0,0,67.3,"White",1,"west"
50,0,0,40,1,1,0,0,25,"White",2,"northeast"
33,3,0,50,1,0,0,0,11.52,"White",1,"south"
38,3,0,50,1,1,3,0,57.7,"White",1,"northeast"
66,1,0,40,1,1,0,0,22.5,"Asian",1,"west"
54,3,1,40,1,1,1,0,60.58,"White",1,"northeast"
64,3,0,40,1,1,0,0,27.4,"White",1,"midwest"
37,5,1,40,1,1,1,0,60,"Asian",1,"west"
23,1,0,40,0,0,0,0,11.25,"Black",0,"south"
35,4,0,45,1,1,0,0,27.78,"White",1,"northeast"
26,0,1,40,1,1,1,0,24.05,"White",1,"south"
51,1,0,40,1,1,0,0,21.63,"White",0,"midwest"
54,0,1,26,1,1,1,0,21.81,"White",1,"south"
38,3,0,17,1,1,1,0,19,"White",1,"west"
19,1,1,35,1,1,0,0,3.51,"White",0,"south"
44,4,0,40,1,0,1,0,33.65,"White",1,"midwest"
25,2,0,0,0,0,0,0,10,"White",0,"northeast"
39,0,0,40,0,1,5,0,12,"White",1,"west"
37,2,0,35,1,1,0,0,9,"White",0,"south"
37,3,0,49,1,1,0,0,20.41,"White",0,"northeast"
29,3,1,40,1,1,1,0,19.38,"White",1,"west"
46,3,1,40,1,1,0,0,34.63,"White",1,"south"
44,0,0,40,1,1,0,0,20,"Black",0,"south"
59,0,0,40,0,0,0,0,17,"White",1,"west"
58,2,1,40,1,1,0,1,14,"White",1,"west"
27,3,0,70,1,0,0,0,21.85,"White",0,"northeast"
34,3,0,40,1,1,0,0,24.5,"White",0,"northeast"
24,0,0,40,0,1,0,0,8,"White",0,"south"
49,0,1,45,0,1,0,0,9.56,"Black",2,"south"
47,1,1,67,1,1,1,0,10.5,"White",0,"midwest"
31,3,0,50,1,1,0,0,42.3,"White",0,"south"
33,0,0,40,1,1,0,0,10,"White",1,"south"
36,0,0,50,0,1,0,0,8,"White",0,"northeast"
36,2,1,36,1,1,2,0,29.29,"White",2,"midwest"
33,0,0,52,1,1,0,0,31,"White",1,"west"
32,4,0,40,1,1,0,0,32.92,"Asian",1,"northeast"
42,2,1,40,1,0,2,0,16.4,"White",2,"northeast"
74,0,0,40,1,1,1,0,11.2,"White",1,"midwest"
45,0,0,44,1,1,1,1,28,"White",1,"northeast"
54,0,1,40,1,1,2,0,10,"White",1,"south"
38,3,0,40,1,1,2,0,62.5,"White",1,"midwest"
48,3,1,70,1,1,2,0,32.97,"White",1,"northeast"
60,4,0,60,1,0,0,0,20.83,"White",1,"midwest"
41,3,1,40,1,1,1,0,26.52,"White",1,"midwest"
72,3,0,40,1,1,2,0,63.92,"White",1,"south"
27,3,0,40,1,1,0,0,19.23,"White",0,"west"
37,4,1,40,1,1,0,0,30,"White",1,"south"
49,2,1,40,1,1,0,0,11.88,"Black",1,"south"
36,0,0,38,0,1,3,0,12,"White",1,"west"
59,1,1,52,1,1,0,0,23,"White",2,"northeast"
49,3,0,50,1,1,1,0,53.84,"White",1,"northeast"
34,0,1,40,1,0,2,0,15,"White",1,"south"
35,3,1,47,1,1,0,0,40.11,"White",1,"west"
52,3,1,42,1,0,1,0,17.02,"White",1,"midwest"
51,4,1,50,0,0,0,0,57.7,"White",2,"south"
55,2,0,40,1,0,0,0,29.8,"White",1,"midwest"
52,4,1,45,1,1,2,0,56.84,"White",1,"northeast"
26,0,1,53,1,1,0,0,6.53,"White",0,"south"
25,0,1,40,1,1,0,0,5,"Asian",0,"south"
25,0,0,0,0,1,0,0,7.25,"White",0,"south"
38,4,1,35,1,1,1,1,17,"White",1,"northeast"
52,2,0,45,1,1,1,0,33.33,"White",1,"northeast"
30,3,1,40,0,1,0,0,24.02,"Black",0,"south"
47,3,1,45,1,1,0,0,27.78,"White",0,"northeast"
29,1,0,40,1,1,0,0,24,"White",0,"northeast"
32,1,0,40,1,1,0,0,72.13,"White",2,"south"
56,5,0,60,0,1,2,0,14.42,"White",1,"south"
58,0,1,40,1,0,0,0,29.96,"White",1,"northeast"
39,1,1,45,1,1,2,0,48.89,"White",1,"west"
46,0,0,40,1,1,0,0,22,"White",1,"midwest"
24,1,1,40,1,0,0,1,12.75,"White",0,"midwest"
32,0,0,40,1,1,1,0,9,"White",1,"northeast"
28,0,1,40,0,1,2,1,12,"White",1,"south"
36,3,0,40,1,1,0,0,28.85,"White",0,"west"
33,3,0,40,1,1,2,0,26.45,"White",1,"south"
21,1,0,45,0,1,0,0,13.89,"White",0,"midwest"
56,0,1,40,1,1,0,0,30,"White",1,"northeast"
41,0,1,45,1,0,0,0,15,"White",2,"south"
63,1,1,40,0,0,1,0,28.85,"White",1,"south"
31,4,1,50,1,1,0,0,18.08,"White",1,"northeast"
39,0,0,40,1,1,2,1,20,"Black",1,"midwest"
29,0,0,55,0,1,0,0,13.75,"White",0,"south"
22,0,0,35,1,1,0,0,12.5,"Asian",0,"west"
36,0,1,40,0,1,0,0,10.5,"Black",0,"south"
22,0,0,40,1,1,0,0,12.9,"White",0,"west"
68,3,0,40,1,1,0,0,52.88,"White",1,"south"
38,1,0,20,1,1,0,0,23.45,"White",1,"south"
34,0,0,40,1,1,0,0,10,"Asian",0,"south"
20,1,1,35,1,0,0,0,15.11,"White",0,"midwest"
59,3,0,40,1,1,0,1,21.5,"White",2,"northeast"
36,0,1,40,1,1,0,1,9,"Asian",1,"west"
27,1,0,40,1,1,0,0,20,"White",0,"west"
42,1,1,40,0,1,0,0,16.5,"White",0,"northeast"
43,1,1,40,1,0,2,0,10.5,"White",2,"midwest"
62,1,1,38,1,1,0,0,31.56,"White",2,"midwest"
34,4,0,60,1,1,0,0,48.08,"White",0,"west"
54,4,0,40,1,1,2,0,37.5,"White",1,"midwest"
58,0,0,48,1,1,0,0,28.04,"White",1,"northeast"
37,0,0,40,1,1,2,0,30,"White",1,"northeast"
34,4,1,40,1,1,1,0,28.85,"White",1,"south"
28,2,0,40,1,1,0,0,23,"White",0,"south"
21,0,1,40,1,1,0,0,10.4,"White",0,"south"
22,1,1,40,1,1,0,0,16.83,"White",0,"midwest"
20,1,1,0,0,1,0,0,8,"Black",0,"south"
40,0,1,20,1,1,3,0,15,"Black",0,"south"
29,3,0,40,1,1,0,1,28.13,"White",1,"south"
41,1,0,37,1,1,1,0,12.7,"White",1,"midwest"
43,1,1,40,1,1,3,0,11,"White",1,"south"
41,4,0,55,1,1,1,1,20.98,"White",1,"midwest"
52,3,0,40,1,1,0,0,20.65,"White",2,"northeast"
39,4,0,40,1,1,0,0,28.85,"White",0,"south"
26,0,0,45,1,1,0,0,13,"White",1,"midwest"
54,0,0,40,1,0,1,1,32,"White",1,"midwest"
26,1,1,40,1,1,0,0,12.5,"White",0,"south"
28,3,0,60,1,1,0,1,9.62,"White",0,"west"
44,0,0,40,0,0,0,0,11.5,"White",1,"south"
60,4,0,40,1,1,0,0,72.13,"Asian",1,"west"
36,2,0,55,1,1,0,0,9,"White",0,"northeast"
33,3,1,40,1,1,2,1,19.23,"White",1,"west"
31,3,0,50,1,1,2,0,19.62,"White",1,"midwest"
67,3,1,50,1,1,0,0,27.68,"White",1,"midwest"
54,1,1,40,1,1,0,0,29.8,"White",0,"south"
50,1,0,45,1,1,0,1,25.35,"White",1,"west"
42,4,0,42,1,1,2,0,53.12,"White",1,"west"
58,4,0,50,1,1,0,0,51.92,"White",1,"northeast"
43,2,1,35,1,1,0,1,16.7,"White",1,"midwest"
77,0,0,30,1,0,0,0,12,"White",1,"midwest"
42,0,1,40,1,1,2,0,15,"White",1,"west"
24,1,0,30,0,1,0,0,10,"Asian",0,"west"
31,0,1,40,0,1,2,0,10,"Black",0,"south"
32,3,0,40,1,0,0,0,16,"White",0,"south"
60,3,1,42,1,1,0,0,9.5,"White",1,"west"
57,0,0,65,1,1,0,0,11.25,"White",1,"south"
46,0,1,35,1,1,0,0,10,"White",1,"west"
43,0,1,40,1,1,3,0,43.28,"Black",2,"south"
59,3,0,40,1,1,0,1,32,"White",2,"south"
26,3,1,40,1,1,0,0,30,"White",1,"west"
26,1,0,40,0,1,0,0,31.25,"White",0,"northeast"
71,3,1,40,1,1,0,0,18,"White",1,"midwest"
22,3,1,65,1,1,0,0,4.62,"White",0,"midwest"
26,2,0,35,1,1,0,0,20,"White",0,"west"
62,0,0,40,1,0,0,1,21,"White",1,"northeast"
34,3,0,40,1,0,3,0,28.38,"White",1,"northeast"
47,3,1,40,1,1,2,0,39.45,"White",1,"northeast"
27,3,1,40,1,0,0,0,11.5,"White",0,"midwest"
35,0,0,0,0,1,0,0,9,"White",2,"south"
37,0,0,40,1,1,3,0,20,"White",1,"south"
37,3,1,40,1,0,0,0,17.3,"White",1,"midwest"
57,0,0,60,1,1,1,0,20.83,"White",1,"south"
28,4,1,40,1,1,0,0,27.5,"White",1,"west"
29,0,0,40,1,1,1,0,27.5,"White",1,"west"
56,0,1,40,1,1,1,0,22.5,"White",1,"midwest"
65,1,0,50,1,1,0,0,48.06,"White",1,"south"
40,0,0,50,0,0,3,0,26.7,"White",1,"south"
34,0,0,50,1,1,2,0,30.62,"White",1,"south"
38,0,0,40,0,0,4,0,14.25,"White",1,"midwest"
32,3,1,38,1,1,0,0,33.39,"White",0,"south"
63,3,0,55,1,1,0,1,26.22,"White",1,"south"
46,3,1,36,1,0,0,1,49,"Asian",1,"west"
30,0,1,40,1,1,1,1,15.61,"White",1,"west"
53,3,0,40,1,1,0,0,25.77,"White",0,"midwest"
30,4,1,40,1,1,1,0,23.08,"White",1,"south"
35,3,1,40,1,1,1,0,28.75,"Black",0,"south"
48,2,1,58,1,1,0,0,13,"White",0,"midwest"
29,3,0,40,1,1,0,0,18,"Black",0,"south"
29,3,0,60,1,1,0,0,12.82,"White",0,"south"
51,1,1,20,1,1,1,0,10,"White",1,"south"
59,3,1,50,1,1,0,0,23.84,"White",2,"midwest"
40,1,1,40,1,1,1,0,15.35,"White",1,"west"
62,0,1,40,1,1,0,1,17.66,"White",1,"west"
60,4,0,38,1,1,0,1,37.84,"White",2,"south"
32,1,1,36,0,0,0,0,9.89,"White",0,"west"
64,2,0,45,1,0,0,0,22.8,"White",1,"midwest"
54,4,0,45,1,1,1,0,64.11,"White",1,"northeast"
30,3,1,40,1,0,0,0,15,"White",0,"midwest"
44,3,0,50,1,1,0,0,27.7,"White",2,"midwest"
24,3,0,40,1,0,1,0,14.5,"Black",0,"south"
56,4,1,40,1,1,0,1,36.14,"White",2,"south"
31,0,1,38,1,0,2,0,20,"White",1,"northeast"
51,4,0,40,1,1,0,0,60.21,"White",1,"midwest"
54,0,1,40,1,1,3,0,12.5,"White",1,"west"
58,2,0,40,1,1,0,0,22.6,"Black",1,"midwest"
57,5,0,40,1,1,0,0,57.7,"White",1,"midwest"
51,1,1,40,0,1,1,0,7.5,"White",2,"northeast"
27,0,1,40,0,0,0,0,9.38,"White",0,"west"
48,3,1,40,1,1,0,0,25,"White",2,"south"
62,1,1,40,1,1,0,1,13,"White",1,"south"
43,3,0,40,1,1,2,0,23.08,"White",1,"west"
37,0,1,40,1,1,1,0,16.83,"Black",0,"south"
25,1,0,30,1,0,0,0,9.5,"White",0,"midwest"
39,2,0,64,1,0,0,0,15.86,"White",2,"midwest"
40,3,1,40,1,1,2,0,21.15,"White",2,"midwest"
39,3,1,40,1,1,3,1,19.23,"White",1,"northeast"
47,1,0,40,1,1,0,0,46.63,"White",2,"northeast"
58,4,0,40,1,1,1,0,50,"White",1,"west"
50,0,1,40,1,0,0,0,6.72,"White",1,"midwest"
29,3,0,50,1,1,2,0,12.12,"White",1,"south"
41,0,0,35,0,0,0,0,8.57,"White",0,"midwest"
47,0,0,40,0,1,0,0,8.5,"White",2,"south"
54,0,0,40,1,1,0,1,30.62,"White",1,"midwest"
38,1,0,40,1,1,2,0,43.25,"White",1,"west"
20,1,1,0,0,1,1,0,8,"Black",1,"south"
50,0,0,40,0,1,2,0,11,"White",1,"south"
55,2,0,40,1,1,0,0,21.25,"White",1,"west"
25,0,0,40,1,1,0,0,8.75,"Asian",0,"northeast"
43,2,1,50,1,1,0,1,26.92,"White",0,"south"
34,4,0,40,1,1,0,0,44.63,"White",0,"west"
56,3,1,40,1,1,0,0,22,"White",1,"south"
48,3,1,40,1,1,1,0,20.29,"White",2,"south"
38,1,1,40,1,1,3,0,12.98,"Black",1,"south"
46,0,0,50,1,0,0,0,57.7,"White",1,"northeast"
29,2,1,36,1,1,2,0,28,"White",1,"south"
37,4,0,45,1,1,0,0,10.27,"White",0,"west"
58,3,1,40,1,0,0,0,18.98,"White",1,"northeast"
37,3,1,50,1,1,0,0,36.54,"White",1,"south"
51,3,0,40,1,1,0,0,34,"White",1,"south"
36,3,1,40,0,1,2,1,10,"White",2,"west"
52,4,0,60,1,1,2,0,48.08,"White",1,"midwest"
26,2,0,40,1,1,2,0,8.5,"White",2,"midwest"
40,0,0,60,1,1,0,0,13.47,"White",1,"south"
28,0,0,40,0,1,0,0,17.3,"Asian",0,"west"
50,2,0,40,1,1,0,0,35,"White",0,"midwest"
54,3,0,40,1,1,0,0,72.13,"White",0,"west"
60,1,1,40,1,1,0,0,14,"White",0,"midwest"
28,3,0,45,1,1,0,0,23.07,"White",0,"midwest"
48,0,1,40,1,1,3,0,20,"White",1,"west"
24,0,0,40,1,1,2,0,10,"White",1,"south"
45,0,0,40,1,1,4,1,22.23,"Asian",1,"west"
24,0,0,40,0,0,0,0,9.5,"White",1,"midwest"
48,4,1,32,1,1,2,0,38.56,"White",1,"northeast"
41,2,0,40,1,1,2,0,37.5,"White",1,"midwest"
32,0,0,45,1,1,0,0,11.35,"White",0,"midwest"
52,0,0,40,0,0,0,0,14,"White",1,"west"
42,3,1,40,1,1,4,1,33.65,"White",1,"northeast"
25,1,0,40,0,1,0,0,10,"White",0,"midwest"
30,0,0,50,0,0,0,0,12,"White",2,"midwest"
54,1,0,40,0,1,0,0,10,"White",1,"midwest"
36,3,0,50,1,1,0,0,57.7,"White",1,"south"
46,5,0,40,1,1,4,0,43.28,"White",1,"northeast"
44,0,1,42,1,1,1,0,15.3,"White",1,"midwest"
63,1,0,40,1,1,0,0,23.08,"White",1,"west"
30,0,1,40,1,1,0,0,17.5,"White",0,"west"
24,0,0,30,1,0,0,0,18,"White",0,"south"
45,0,0,40,0,1,2,0,9.5,"Black",1,"south"
32,1,0,70,0,0,1,0,7.64,"White",1,"west"
35,3,1,40,1,1,0,0,31,"White",0,"south"
34,2,0,40,1,1,2,0,40,"White",1,"south"
55,0,0,40,1,1,0,0,16.25,"Black",0,"south"
27,2,1,40,1,1,0,0,16,"White",0,"midwest"
45,1,1,40,1,0,3,0,10.75,"White",1,"midwest"
36,3,1,40,1,1,0,0,53,"White",2,"south"
30,0,1,36,1,1,0,0,13.33,"White",0,"south"
61,0,0,40,1,1,0,0,28,"White",1,"south"
46,0,0,40,1,1,0,0,21,"White",1,"northeast"
45,4,1,40,0,1,0,0,16.5,"White",2,"northeast"
24,0,1,40,1,0,1,0,10.13,"White",0,"south"
31,3,0,55,1,0,0,0,20.98,"White",1,"midwest"
49,1,0,45,1,1,2,1,27.59,"White",1,"midwest"
24,3,0,40,1,1,0,0,12,"White",0,"midwest"
59,4,1,50,1,1,0,0,34.62,"White",1,"south"
57,0,0,60,1,1,0,0,9.6,"Black",1,"south"
37,0,0,40,0,1,4,0,7.68,"White",1,"south"
47,3,1,40,0,1,0,0,14,"White",2,"west"
64,4,0,70,1,0,0,0,41.21,"White",1,"midwest"
24,4,1,20,0,1,0,0,51.9,"White",0,"south"
51,0,1,40,0,0,0,0,10,"White",1,"northeast"
34,1,1,40,1,1,0,0,9,"White",2,"west"
61,4,0,50,1,1,2,0,17.3,"White",1,"south"
